EmployeeID,Name,Department,Age,Gender,Experience_Years,Monthly_Salary,Attendance_Percent,Performance_Score,Overtime_Hours,Projects_Completed,Training_Hours,Employee_Signature_Blank
EMP0013,Sobia Sheikh,Marketing,25,Female,2,67000.0,95.4,59.5,0.1,5,4.5,
EMP0015,Noor Abbasi,HR,29,Male,5,61900.0,97.5,58.8,13.6,2,22.5,
EMP0025,Bilal Malik,IT,30,Male,9,117400.0,80.5,45.1,3.4,5,36.3,
EMP0083,Sadia Chaudhry,Sales,31,Female,7,88300.0,89.8,44.9,0.0,3,17.6,
EMP0133,Mariam Baig,Sales,46,Female,23,125300.0,89.5,62.6,2.6,7,26.8,
EMP0009,Kamran Butt,Operations,36,Female,14,86200.0,95.1,59.5,1.5,5,29.6,
EMP0028,Imran Hussain,IT,27,Female,0,90100.0,100.0,49.3,2.6,3,19.2,
EMP0069,Laiba Siddiqui,HR,38,Male,17,92300.0,84.2,,0.9,11,23.0,
EMP0044,Laiba Malik,HR,43,Female,15,98500.0,84.0,65.7,2.6,7,15.1,
EMP0073,Iqra Sheikh,HR,23,Male,0,59400.0,89.9,35.7,2.5,7,9.5,
EMP0137,Salman Malik,Marketing,29,Male,7,95300.0,93.5,54.7,1.2,8,18.5,
EMP0131,Omar Gill,IT,37,Male,10,122700.0,97.6,59.4,18.8,8,24.7,
EMP0084,Rabia Raza,Operations,32,Male,11,87700.0,100.0,64.5,4.7,7,26.4,
EMP0023,Bilal Iqbal,Sales,48,Male,27,145700.0,94.6,80.2,2.3,11,13.4,
EMP0018,Sobia Raza,IT,26,Female,5,110700.0 PKR,100.0,56.9,4.1,5,11.4,
EMP0125,Amna Yousaf,Marketing,31,Female,10,98300.0,92.5,55.4,3.1,3,16.3,
EMP0078,Sara Malik,Operations,30,Male,7,83900.0,83.9,59.1,3.9,6,23.1,
EMP0024,Sadia Sheikh,Sales,37,Male,16,105900.0,75.6,57.3,0.6,8,42.4,
EMP0085,Mariam Rana,Operations,30,Male,6,68000.0,82.1,38.6,12.8,5,19.6,
EMP0129,Nadeem Gill,IT,34,Female,4,97100.0,87.4,54.4,1.7,3,17.7,
EMP0068,Fatima Gill,Marketing,21,Male,0,75200.0,89.7,40.7,8.7,4,19.7,
EMP0017,Farhan Butt,IT,37,Male,16,137500.0,95.5,62.1,2.8,8,11.1,
EMP0046,Imran Butt,Finance,24,Female,0,81500.0,85.8,24.9,5.8,1,0.0,
EMP0036,Omar Sheikh,IT,38,Female,12,119200.0,99.5,59.4,14.8,4,17.7,
EMP0136,Anum Yousaf,IT,26,Male,0,83300.0,92.6,48.6,1.7,2,17.2,
EMP0051,Noor Rana,Finance,36,Male,10,121100.0,90.1,55.9,4.2,6,18.0,
EMP0121,Sana Farooq,Sales,26,Male,5,,92.9,42.2,29.3,3,,
EMP0035,Sadia Hussain,Sales,35,Female,14,104300.0,91.2,67.7,1.5,6,20.7,
EMP0146,Sana Sheikh,Sales,21,Male,0,59400.0,90.6,42.6,1.8,5,18.1,
EMP0096,Asad Chaudhry,Marketing,41,Female,20,118800.0,96.4,65.2,0.5,9,,
EMP0020,Asad Malik,Marketing,23,Male,0,58100.0,90.9,46.3,7.2,1,33.8,
EMP0128,Usman Abbasi,Marketing,37,Female,10,93800.0,82.1,46.6,1.1,7,24.3,
EMP0116,Rizwan Farooq,Finance,35,Female,11,105700.0,84.4,52.5,12.2,11,1.1,
EMP0145,Sadia Mirza,Operations,24,Female,3,74800.0,92.7,43.5,11.0,1,32.0,
EMP0011,Mariam Mirza,Sales,21,Male,0,69900.0,87.8,49.5,7.5,0,15.6,
EMP0012,Laiba Khan,Marketing,31,Female,0,73900.0,100.0,54.5,0.5,0,13.3,
EMP0093,Iqra Ahmed,Finance,30,Male,6,99000.0,82.5,69.9,2.1,3,27.9,
EMP0140,Ahmed Khan,IT,37,Male,15,137400.0,96.8,61.3,10.1,10,29.5,
EMP0087,Imran Hussain,IT,42,Female,19,144100.0,84.8,74.0,2.5,8,26.1,
EMP0010,Sadia Iqbal,Operations,30,Male,2,58900.0,89.0,32.9,4.0,1,29.1,
EMP0134,Sadia Rana,Sales,40,Male,19,121800.0,96.0,64.0,5.9,6,15.0,
EMP0097,Iqra Malik,Sales,43,Male,18,125400.0,96.6,87.9,2.4,7,36.7,
EMP0030,Waqas Malik,Sales,24,Female,3,77600.0,93.5,46.1,3.0,3,13.9,
EMP0040,Anum Ahmed,IT,35,Male,12,137300.0,88.9,74.3,11.5,10,37.6,
EMP0110,Kamran Khan,IT,39,Male,18,146100.0,82.5,,2.9,8,31.3,
EMP0122,Hira Gill,Marketing,37,Male,12,97200.0,92.0,62.5,7.4,5,,
EMP0118,Omar Iqbal,IT,21,Female,0,101300.0,89.4,48.4,1.8,5,37.2,
EMP0103,Ahmed Qureshi,IT,25,Male,3,115600.0,77.9,36.5,5.6,0,25.0,
EMP0060,Kamran Qureshi,Operations,45,Female,19,106700.0,88.4,73.6,5.4,7,18.7,
EMP0089,Zeeshan Gill,Finance,42,Male,18,126700.0,100.0,59.4,1.1,4,26.5,
EMP0045,Bilal Chaudhry,IT,29,Female,3,98700.0,85.8,65.0,4.3,3,16.2,
EMP0037,Zara Butt,IT,26,Male,3,104600.0,100.0,61.1,6.9,2,27.4,
EMP0119,Hassan Hussain,IT,24,Male,3,105500.0,95.7,53.8,1.9,2,36.9,
EMP0141,Kashif Chaudhry,HR,26,Male,4,67300.0,91.4,38.1,2.2,3,11.8,
EMP0053,Sobia Malik,IT,34,Female,9,118000.0,86.8,66.7,0.9,6,,
EMP0115,Sadia Chaudhry,Finance,28,Female,1,88600.0,90.1,33.0,2.2,4,26.9,
EMP0062,Mariam Iqbal,Sales,30,Male,9,88300.0,80.7,46.8,1.4,6,20.1,
EMP0127,Waqas Rana,IT,28,Male,3,112300.0,,37.7,3.4,5,12.9,
EMP0031,Nida Gill,Marketing,21,Female,0,72200.0,78.4,44.3,9.4,4,19.9,
EMP0149,Komal Javed, Hr,32,Female,5,71900.0,79.8,49.0,4.9,4,4.4,
EMP0014,Laiba Iqbal,Sales,32,Female,10,94000.0,84.9,48.0,0.7,7,7.7,
EMP0056,Ahmed Iqbal,Finance,42,Female,21,137300.0,94.6,81.4,9.0,8,15.7,
EMP0076,Waqas Yousaf,Finance,30,Male,9,91200.0,98.8,69.3,2.7,3,47.4,
EMP0114,Asad Iqbal,IT,34,Female,8,114100.0,84.3,64.5,4.5,5,42.5,
EMP0099,Faisal Khan,Finance,31,Male,9,109800.0,96.3,65.2,4.2,7,29.5,
EMP0033,Hassan Yousaf,Operations,21,Male,0,66400.0,89.9,38.0,14.3,3,2.6,
EMP0081,Zara Gill,Finance,31,Male,6,102800.0,92.1,43.0,4.4,5,26.3,
EMP0017,Farhan Butt,IT,37,Male,16,137500.0,95.5,62.1,2.8,8,11.1,
EMP0092,Usman Malik,Finance,35,Male,11,104500.0,76.6,59.7,4.9,5,15.4,
EMP0100,Komal Ahmed,HR,52,Female,28,133300.0,93.2,64.4,14.6,12,7.5,
EMP0101,Anum Mirza,IT,43,Female,15,124200.0,99.6,48.1,0.4,8,11.1,
EMP0075,Imran Sheikh,Marketing,31,Female,3,75100.0,89.7,47.6,14.8,1,24.5,
EMP0086,Asad Farooq,Sales,35,Male,9,95500.0,91.3,58.9,4.2,6,20.5,
EMP0002,Adeel Siddiqui,HR,21,Male,0,57000.0,76.2,47.4,24.5,5,19.0,
EMP0150,Nadeem Yousaf,Sales,28,Female,3,71100.0,90.5,46.6,20.5,2,,
EMP0047,Noor Qureshi,Sales,38,Male,16,107900.0,95.2,59.0,8.0,7,22.6,
EMP0112,Sana Mirza,Sales,40,Female,13,111700.0,87.2,48.4,1.3,7,8.9,
EMP0072,Ali Rana,it ,31,Female,10,94300.0,94.0,69.8,17.9,7,18.8,
EMP0135,Komal Butt,Finance,27,Female,4,103700.0,100.0,58.8,6.4,5,16.4,
EMP0057,Sara Farooq,HR,32,Female,6,68300.0,70.4,42.0,4.7,9,0.0,
EMP0126,Zara Ahmed,it ,25,Male,2,57200.0,93.8,39.7,0.0,3,17.7,
EMP0064,Rabia Khan,Finance,24,Male,0,91500.0,98.0,30.4,1.0,3,17.5,
EMP0019,Tariq Butt,Sales,31,Female,10,92300.0,94.2,66.2,2.3,5,22.1,
EMP0106,Zara Yousaf,Sales,24,Female,0,66400.0,87.2,42.5,1.7,3,21.7,
EMP0065,Rizwan Malik,IT,24,Male,3,108100.0,98.2,58.7,0.1,1,21.0,
EMP0099,Faisal Khan,Finance,31,Male,9,109800.0,96.3,65.2,4.2,7,29.5,
EMP0055,Nida Rana,Marketing,45,Male,17,100200.0,75.1,53.3,1.6,8,0.0,
EMP0029,Komal Farooq,IT,43,Male,21,145300.0,83.6,80.3,5.0,9,27.6,
EMP0117,Iqra Abbasi,IT,35,Male,8,119400.0,77.2,58.5,6.8,2,1.3,
EMP0079,Mahnoor Iqbal, Hr,31,Female,7,80200.0,84.4,52.4,1.9,8,17.5,
EMP0015,Noor Abbasi,HR,29,Male,5,61900.0,97.5,58.8,13.6,2,22.5,
EMP0050,Iqra Raza,IT,30,Male,9,118400.0,100.0,60.7,10.3,6,37.8,
EMP0095,Farhan Ahmed,HR,22,Female,0,nan PKR,92.4,41.1,18.2,2,37.0,
EMP0021,Kamran Farooq,Finance,35,Female,14,123400.0,,72.6,13.2,8,8.5,
EMP0038,Sara Farooq,Operations,42,Female,21,109700.0,74.3,74.0,21.0,9,22.8,
EMP0049,Iqra Ahmed,HR,21,Female,0,62300.0,85.7,27.0,4.1,4,25.0,
EMP0080,Ayesha Aslam,Operations,25,Female,3,58300.0,94.7,47.6,27.2,3,20.5,
EMP0124,Zeeshan Farooq,Operations,31,Female,5,78500.0,86.6,40.0,1.1,2,33.1,
EMP0034,Asad Rana,Finance,39,Male,18,129000.0,87.8,59.3,0.1,7,19.5,
EMP0008,Faisal Farooq,IT,25,Male,1,103300.0,100.0,55.5,0.9,5,42.9,
EMP0063,Amna Hussain,HR,32,Female,8,79200.0,86.8,44.5,0.2,4,45.7,
EMP0132,Sara Abbasi,IT,33,Female,12,121400.0,93.9,65.8,6.1,5,21.7,
EMP0098,Kamran Rana,Sales,30,Male,3,84700.0,84.1,70.5,0.5,1,15.3,
EMP0111,Hina Aslam,Sales,30,Male,2,81100.0,70.5,47.2,4.4,5,17.3,
EMP0105,Bilal Khan,HR,32,Male,10,82200.0,96.7,37.8,6.6,11,31.1,
EMP0070,Nadeem Javed,Finance,36,Male,12,123200.0,86.8,53.8,4.1,5,23.1,
EMP0091,Warda Malik,Sales,38,Female,13,105500.0,87.8,62.0,9.0,6,25.7,
EMP0130,Sobia Mirza,Marketing,24,Female,2,62800.0,95.5,41.9,6.0,3,15.6,
EMP0061,Hassan Farooq,Finance,24,Male,0,89900.0,88.6,33.9,8.0,0,5.0,
EMP0003,Usman Chaudhry,Sales,27,Female,3,73900.0,100.0,50.4,0.2,1,17.7,
EMP0067,Salman Qureshi,IT,34,Female,7,118000.0,86.5,50.5,1.8,7,33.2,
EMP0082,Zeeshan Yousaf,HR,49,Female,25,126200.0,99.0,80.3,0.2,6,11.2,
EMP0027,Sadia Gill,Marketing,27,Male,6,84100.0,88.6,52.5,14.1,4,22.8,
EMP0143,Ayesha Qureshi,Finance,37,Male,11,112400.0,82.7,69.5,0.1,9,30.9,
EMP0094,Sobia Chaudhry,Sales,34,Male,10,92600.0,100.0,59.4,7.3,5,20.3,
EMP0120,Ahmed Raza,Sales,38,Male,9,88700.0,81.4,54.0,19.6,8,26.9,
EMP0139,Kashif Javed,Finance,25,Female,2,96000.0,89.6,37.5,4.9,3,26.0,
EMP0108,Farhan Chaudhry,Operations,38,Female,14,92000.0,90.4,52.6,8.7,6,,
EMP0148,Mariam Aslam,Sales,31,Male,5,76800.0,79.4,31.4,11.2,3,15.2,
EMP0022,Sara Rana,SALES,21,Male,0,85300.0,84.2,53.6,0.8,6,21.3,
EMP0001,Rizwan Gill,Operations,24,Female,1,64200.0,,39.1,1.2,2,22.4,
EMP0132,Sara Abbasi,IT,33,Female,12,121400.0 PKR,,65.8,6.1,5,21.7,
EMP0076,Waqas Yousaf,Finance,30,Male,9,91200.0,98.8,,2.7,3,47.4,
EMP0107,Fatima Hussain,Finance,36,Female,13,120500.0,95.9,48.5,1.0,8,3.9,
