EmployeeID,Name,Department,Age,Gender,Experience_Years,Monthly_Salary,Attendance_Percent,Performance_Score,Overtime_Hours,Projects_Completed,Training_Hours,Performance_Index,Promotion_Status
EMP0084,Rabia Raza,Operations,32,Male,11,87700.0,100.0,64.5,4.7,7,26.4,54.35,Needs Improvement
EMP0023,Bilal Iqbal,Sales,48,Male,27,145700.0,94.6,80.2,2.3,11,13.4,62.31999999999999,Promoted
EMP0018,Sobia Raza,It,26,Female,5,110700.0,100.0,56.9,4.1,5,11.4,49.95,Needs Improvement
EMP0125,Amna Yousaf,Marketing,31,Female,10,98300.0,92.5,55.4,3.1,3,16.3,47.099999999999994,Needs Improvement
EMP0078,Sara Malik,Operations,30,Male,7,83900.0,83.9,59.1,3.9,6,23.1,48.13,Needs Improvement
EMP0024,Sadia Sheikh,Sales,37,Male,16,105900.0,75.6,57.3,0.6,8,42.4,46.169999999999995,Needs Improvement
EMP0085,Mariam Rana,Operations,30,Male,6,68000.0,82.1,38.6,12.8,5,19.6,37.22,Requires Training
EMP0129,Nadeem Gill,It,34,Female,4,97100.0,87.4,54.4,1.7,3,17.7,45.58,Needs Improvement
EMP0068,Fatima Gill,Marketing,21,Male,0,75200.0,89.7,40.7,8.7,4,19.7,39.49,Requires Training
EMP0017,Farhan Butt,It,37,Male,16,137500.0,95.5,62.1,2.8,8,11.1,52.550000000000004,Needs Improvement
EMP0046,Imran Butt,Finance,24,Female,0,81500.0,85.8,24.9,5.8,1,0.0,29.91,Requires Training
EMP0036,Omar Sheikh,It,38,Female,12,119200.0,99.5,59.4,14.8,4,17.7,50.8,Needs Improvement
EMP0136,Anum Yousaf,It,26,Male,0,83300.0,92.6,48.6,1.7,2,17.2,43.42,Requires Training
EMP0051,Noor Rana,Finance,36,Male,10,121100.0,90.1,55.9,4.2,6,18.0,47.769999999999996,Needs Improvement
EMP0121,Sana Farooq,Sales,26,Male,5,96850.0,92.9,42.2,29.3,3,20.0,40.58,Requires Training
EMP0035,Sadia Hussain,Sales,35,Female,14,104300.0,91.2,67.7,1.5,6,20.7,53.89,Needs Improvement
EMP0146,Sana Sheikh,Sales,21,Male,0,59400.0,90.6,42.6,1.8,5,18.1,40.92,Requires Training
EMP0096,Asad Chaudhry,Marketing,41,Female,20,118800.0,96.4,65.2,0.5,9,20.0,54.580000000000005,Needs Improvement
EMP0020,Asad Malik,Marketing,23,Male,0,58100.0,90.9,46.3,7.2,1,33.8,41.63,Requires Training
EMP0128,Usman Abbasi,Marketing,37,Female,10,93800.0,82.1,46.6,1.1,7,24.3,41.82,Requires Training
EMP0116,Rizwan Farooq,Finance,35,Female,11,105700.0,84.4,52.5,12.2,11,1.1,46.43000000000001,Needs Improvement
EMP0145,Sadia Mirza,Operations,24,Female,3,74800.0,92.7,43.5,11.0,1,32.0,40.59,Requires Training
EMP0011,Mariam Mirza,Sales,21,Male,0,69900.0,87.8,49.5,7.5,0,15.6,42.31,Requires Training
EMP0012,Laiba Khan,Marketing,31,Female,0,73900.0,100.0,54.5,0.5,0,13.3,47.25,Needs Improvement
EMP0093,Iqra Ahmed,Finance,30,Male,6,99000.0,82.5,69.9,2.1,3,27.9,52.35,Needs Improvement
EMP0140,Ahmed Khan,It,37,Male,15,137400.0,96.8,61.3,10.1,10,29.5,53.01,Needs Improvement
EMP0087,Imran Hussain,It,42,Female,19,144100.0,84.8,74.0,2.5,8,26.1,56.36,Needs Improvement
EMP0010,Sadia Iqbal,Operations,30,Male,2,58900.0,89.0,32.9,4.0,1,29.1,34.55,Requires Training
EMP0134,Sadia Rana,Sales,40,Male,19,121800.0,96.0,64.0,5.9,6,15.0,53.0,Needs Improvement
EMP0097,Iqra Malik,Sales,43,Male,18,125400.0,96.6,87.9,2.4,7,36.7,65.37,Promoted
EMP0030,Waqas Malik,Sales,24,Female,3,77600.0,93.5,46.1,3.0,3,13.9,42.65,Requires Training
EMP0040,Anum Ahmed,It,35,Male,12,137300.0,88.9,74.3,11.5,10,37.6,57.93,Needs Improvement
EMP0110,Kamran Khan,It,39,Male,18,146100.0,82.5,53.9,2.9,8,31.3,45.849999999999994,Needs Improvement
EMP0122,Hira Gill,Marketing,37,Male,12,97200.0,92.0,62.5,7.4,5,20.0,51.150000000000006,Needs Improvement
EMP0118,Omar Iqbal,It,21,Female,0,101300.0,89.4,48.4,1.8,5,37.2,43.58,Requires Training
EMP0103,Ahmed Qureshi,It,25,Male,3,115600.0,77.9,36.5,5.6,0,25.0,33.83,Requires Training
EMP0060,Kamran Qureshi,Operations,45,Female,19,106700.0,88.4,73.6,5.4,7,18.7,56.58,Needs Improvement
EMP0089,Zeeshan Gill,Finance,42,Male,18,126700.0,100.0,59.4,1.1,4,26.5,50.9,Needs Improvement
EMP0045,Bilal Chaudhry,It,29,Female,3,98700.0,85.8,65.0,4.3,3,16.2,50.56,Needs Improvement
EMP0037,Zara Butt,It,26,Male,3,104600.0,100.0,61.1,6.9,2,27.4,51.150000000000006,Needs Improvement
EMP0119,Hassan Hussain,It,24,Male,3,105500.0,95.7,53.8,1.9,2,36.9,46.64,Needs Improvement
EMP0141,Kashif Chaudhry,Hr,26,Male,4,67300.0,91.4,38.1,2.2,3,11.8,38.230000000000004,Requires Training
EMP0053,Sobia Malik,It,34,Female,9,118000.0,86.8,66.7,0.9,6,20.0,52.51,Needs Improvement
EMP0115,Sadia Chaudhry,Finance,28,Female,1,88600.0,90.1,33.0,2.2,4,26.9,35.72,Requires Training
EMP0062,Mariam Iqbal,Sales,30,Male,9,88300.0,80.7,46.8,1.4,6,20.1,41.34,Requires Training
EMP0127,Waqas Rana,It,28,Male,3,112300.0,89.8,37.7,3.4,5,12.9,38.31,Requires Training
EMP0031,Nida Gill,Marketing,21,Female,0,72200.0,78.4,44.3,9.4,4,19.9,39.03,Requires Training
EMP0149,Komal Javed,Hr,32,Female,5,71900.0,79.8,49.0,4.9,4,4.4,41.66,Requires Training
EMP0014,Laiba Iqbal,Sales,32,Female,10,94000.0,84.9,48.0,0.7,7,7.7,43.08,Requires Training
EMP0056,Ahmed Iqbal,Finance,42,Female,21,137300.0,94.6,81.4,9.0,8,15.7,62.019999999999996,Promoted
EMP0076,Waqas Yousaf,Finance,30,Male,9,91200.0,98.8,69.3,2.7,3,47.4,55.31,Needs Improvement
EMP0114,Asad Iqbal,It,34,Female,8,114100.0,84.3,64.5,4.5,5,42.5,50.61,Needs Improvement
EMP0099,Faisal Khan,Finance,31,Male,9,109800.0,96.3,65.2,4.2,7,29.5,53.96000000000001,Needs Improvement
EMP0033,Hassan Yousaf,Operations,21,Male,0,66400.0,89.9,38.0,14.3,3,2.6,37.879999999999995,Requires Training
EMP0081,Zara Gill,Finance,31,Male,6,102800.0,92.1,43.0,4.4,5,26.3,41.42,Requires Training
EMP0092,Usman Malik,Finance,35,Male,11,104500.0,76.6,59.7,4.9,5,15.4,46.67,Needs Improvement
EMP0100,Komal Ahmed,Hr,52,Female,28,133300.0,93.2,64.4,14.6,12,7.5,54.440000000000005,Needs Improvement
EMP0101,Anum Mirza,It,43,Female,15,124200.0,99.6,48.1,0.4,8,11.1,46.370000000000005,Requires Training
EMP0075,Imran Sheikh,Marketing,31,Female,3,75100.0,89.7,47.6,14.8,1,24.5,42.040000000000006,Requires Training
EMP0086,Asad Farooq,Sales,35,Male,9,95500.0,91.3,58.9,4.2,6,20.5,49.510000000000005,Needs Improvement
EMP0002,Adeel Siddiqui,Hr,21,Male,0,57000.0,76.2,47.4,24.5,5,19.0,40.44,Requires Training
EMP0150,Nadeem Yousaf,Sales,28,Female,3,71100.0,90.5,46.6,20.5,2,20.0,42.0,Requires Training
EMP0047,Noor Qureshi,Sales,38,Male,16,107900.0,95.2,59.0,8.0,7,22.6,50.64,Needs Improvement
EMP0112,Sana Mirza,Sales,40,Female,13,111700.0,87.2,48.4,1.3,7,8.9,43.74,Requires Training
EMP0072,Ali Rana,It,31,Female,10,94300.0,94.0,69.8,17.9,7,18.8,55.8,Needs Improvement
EMP0135,Komal Butt,Finance,27,Female,4,103700.0,100.0,58.8,6.4,5,16.4,50.9,Needs Improvement
EMP0057,Sara Farooq,Hr,32,Female,6,68300.0,70.4,42.0,4.7,9,0.0,37.78,Requires Training
EMP0126,Zara Ahmed,It,25,Male,2,57200.0,93.8,39.7,0.0,3,17.7,39.510000000000005,Requires Training
EMP0064,Rabia Khan,Finance,24,Male,0,91500.0,98.0,30.4,1.0,3,17.5,35.7,Requires Training
EMP0019,Tariq Butt,Sales,31,Female,10,92300.0,94.2,66.2,2.3,5,22.1,53.44,Needs Improvement
EMP0106,Zara Yousaf,Sales,24,Female,0,66400.0,87.2,42.5,1.7,3,21.7,39.59,Requires Training
EMP0065,Rizwan Malik,It,24,Male,3,108100.0,98.2,58.7,0.1,1,21.0,49.290000000000006,Needs Improvement
EMP0055,Nida Rana,Marketing,45,Male,17,100200.0,75.1,53.3,1.6,8,0.0,44.06999999999999,Needs Improvement
EMP0029,Komal Farooq,It,43,Male,21,145300.0,83.6,80.3,5.0,9,27.6,59.57,Needs Improvement
EMP0117,Iqra Abbasi,It,35,Male,8,119400.0,77.2,58.5,6.8,2,1.3,45.290000000000006,Needs Improvement
EMP0079,Mahnoor Iqbal,Hr,31,Female,7,80200.0,84.4,52.4,1.9,8,17.5,45.480000000000004,Needs Improvement
EMP0050,Iqra Raza,It,30,Male,9,118400.0,100.0,60.7,10.3,6,37.8,52.15,Needs Improvement
EMP0095,Farhan Ahmed,Hr,22,Female,0,96850.0,92.4,41.1,18.2,2,37.0,39.63,Requires Training
EMP0021,Kamran Farooq,Finance,35,Female,14,123400.0,89.8,72.6,13.2,8,8.5,56.66,Needs Improvement
EMP0038,Sara Farooq,Operations,42,Female,21,109700.0,74.3,74.0,21.0,9,22.8,54.56,Needs Improvement
EMP0049,Iqra Ahmed,Hr,21,Female,0,62300.0,85.7,27.0,4.1,4,25.0,31.84,Requires Training
EMP0080,Ayesha Aslam,Operations,25,Female,3,58300.0,94.7,47.6,27.2,3,20.5,43.64,Requires Training
EMP0124,Zeeshan Farooq,Operations,31,Female,5,78500.0,86.6,40.0,1.1,2,33.1,37.92,Requires Training
EMP0034,Asad Rana,Finance,39,Male,18,129000.0,87.8,59.3,0.1,7,19.5,49.31,Needs Improvement
EMP0008,Faisal Farooq,It,25,Male,1,103300.0,100.0,55.5,0.9,5,42.9,49.25,Needs Improvement
EMP0063,Amna Hussain,Hr,32,Female,8,79200.0,86.8,44.5,0.2,4,45.7,40.81,Requires Training
EMP0132,Sara Abbasi,It,33,Female,12,121400.0,93.9,65.8,6.1,5,21.7,53.18,Needs Improvement
EMP0098,Kamran Rana,Sales,30,Male,3,84700.0,84.1,70.5,0.5,1,15.3,52.37,Needs Improvement
EMP0111,Hina Aslam,Sales,30,Male,2,81100.0,70.5,47.2,4.4,5,17.3,39.2,Requires Training
EMP0105,Bilal Khan,Hr,32,Male,10,82200.0,96.7,37.8,6.6,11,31.1,41.540000000000006,Requires Training
EMP0070,Nadeem Javed,Finance,36,Male,12,123200.0,86.8,53.8,4.1,5,23.1,45.76,Needs Improvement
EMP0091,Warda Malik,Sales,38,Female,13,105500.0,87.8,62.0,9.0,6,25.7,50.36,Needs Improvement
EMP0130,Sobia Mirza,Marketing,24,Female,2,62800.0,95.5,41.9,6.0,3,15.6,40.95,Requires Training
EMP0061,Hassan Farooq,Finance,24,Male,0,89900.0,88.6,33.9,8.0,0,5.0,34.67,Requires Training
EMP0003,Usman Chaudhry,Sales,27,Female,3,73900.0,100.0,50.4,0.2,1,17.7,45.5,Needs Improvement
EMP0067,Salman Qureshi,It,34,Female,7,118000.0,86.5,50.5,1.8,7,33.2,44.650000000000006,Needs Improvement
EMP0082,Zeeshan Yousaf,Hr,49,Female,25,126200.0,99.0,80.3,0.2,6,11.2,61.75,Promoted
EMP0027,Sadia Gill,Marketing,27,Male,6,84100.0,88.6,52.5,14.1,4,22.8,45.17,Needs Improvement
EMP0143,Ayesha Qureshi,Finance,37,Male,11,112400.0,82.7,69.5,0.1,9,30.9,53.99000000000001,Needs Improvement
EMP0094,Sobia Chaudhry,Sales,34,Male,10,92600.0,100.0,59.4,7.3,5,20.3,51.2,Needs Improvement
EMP0120,Ahmed Raza,Sales,38,Male,9,88700.0,81.4,54.0,19.6,8,26.9,45.68,Needs Improvement
EMP0139,Kashif Javed,Finance,25,Female,2,96000.0,89.6,37.5,4.9,3,26.0,37.56999999999999,Requires Training
EMP0108,Farhan Chaudhry,Operations,38,Female,14,92000.0,90.4,52.6,8.7,6,20.0,46.18000000000001,Needs Improvement
EMP0148,Mariam Aslam,Sales,31,Male,5,76800.0,79.4,31.4,11.2,3,15.2,32.480000000000004,Requires Training
EMP0022,Sara Rana,Sales,21,Male,0,85300.0,84.2,53.6,0.8,6,21.3,45.44,Needs Improvement
EMP0001,Rizwan Gill,Operations,24,Female,1,64200.0,89.8,39.1,1.2,2,22.4,38.11,Requires Training
EMP0132,Sara Abbasi,It,33,Female,12,121400.0,89.8,65.8,6.1,5,21.7,52.36,Needs Improvement
EMP0076,Waqas Yousaf,Finance,30,Male,9,91200.0,98.8,53.9,2.7,3,47.4,47.61,Needs Improvement
EMP0107,Fatima Hussain,Finance,36,Female,13,120500.0,95.9,48.5,1.0,8,3.9,45.83,Requires Training
